看房随时位置安静中间楼层宝钢式户型南北两房 潍坊八村 ,361万,54平方米,潍坊-浦电路305弄1-54号、浦电路331弄1-
 全景 福外 建平 双南两房 全明户型 中间楼层 看房随时 出国急抛,411万,47.5平方米,源深-商城路991弄、商城路1025弄、乳山路13
看房随时。进 精装修的两房园西的房 房东置换急售 ,195万,52平方米,川沙-川沙路5122弄
 重磅出击 配套成熟 生活购物方便地段好 采光好对应东华附属 急售,275万,78平方米,松江新城-文宇路88弄
看房随拎包入住开发商统一精装修近地铁 徐泾花园洋房 ,818万,142平方米,徐泾-徐盈路1188弄
居家之选纯毛坯送车位113平大三房 13号线地铁口 ,420万,113.3平方米,张江-孙耀路111弄、孙环路177弄、孙耀路178
税少接受置换地上2层独栋南花园500平 圣得恒业新出房源 ,1450万,260平方米,颛桥-都市路2099弄
板式南北通2房昌邑未用大华十二街区 老业主委托 ,640万,97平方米,北蔡-锦绣路3088弄
价钱可谈全屋地暖南北通透全明)两梯三户 (厅南北双阳台 ,380万,63平方米,五里桥-局门路295弄
 美兰湖一线高尔夫豪宅远洋鸿郡―东边套(小区大花园)豪华装修,930万,187平方米,罗店-宝山区抚远路699弄
 新出房源 空中花园大阳台 零个税 阳台可培土种植,1870万,193.8平方米,联洋-丁香路1599弄
到手只交自己契税就可以了 低总价晋元正三 510万各付各的税 ,510万,104平方米,万里-新村路1759弄、新村路1881弄、新村路1
有钥匙好看房拎包即住精装全送 新泾七村少有一梯两户双南房型 ,298万,59平方米,北新泾-天山西路450弄1-78号、金钟路333弄1
 蓝天新村 3室1厅 100平,280万,100平方米,松江老城-蓝天新村1-334号
离上海市区与南门近周边设施齐全 崇明岛小户型精装修房源 ,49万,43平方米,崇明其他-前进农场海燕新村38号
带地暖 同看滨江凯旋门1车位满五年维一 财富5号楼精装3房 ,2100万,210.56平方米,陆家嘴-浦明路258弄
拎包入住南北通透全新房带车位 送200平露台 ,382万,74平方米,北外滩-天潼路508、528号
 同润玫瑰园+一手独栋别墅+赠花园600平地下室250平+临河环水,1060万,320平方米,车墩-影佳路123弄
 罗泾一手联排别墅北郊御墅丨新房无税无任何费用丨看房随时,458万,168平方米,罗泾-陈川路777弄
 三房南北通满五年得房开发商装修带地暖 三房朝南房东急售,370万,100平方米,九亭-涞寅路658弄
 精装两房 模范+打一 楼层好位置好 房东 看房方便,325万,76平方米,曹路-海鹏路301弄
 双南户型 置换电梯房 诚心出售 售后公房 无税费,470万,86平方米,凉城-广中路366弄
 金鹏苑两房朝南靠大拇指广场金桥公园双轨交,435万,70平方米,金桥-金工路172弄
首付正常低总价只卖203万花园位置品质两房 实图实价 ,203万,71平方米,航头-鹤永路750弄
 美兰湖 紧靠七号线地铁世纪联华等 房东着急急售 看房方便密码锁,570万,193平方米,罗店-美丹路188弄
打造一个属于您温馨的家. 次新房 带阁楼 周边配套完善 ,160万,59.33平方米,青浦城区-盈港路1750弄、盈港路1755弄、盈港路1
 南新四村 一梯两户 总价低 单价低,245万,56.36平方米,北蔡-下南路501弄1-45号、下南路551弄
 西上海名邸次新房 全南户型 精装245万.采光很好.价格实惠,245万,76平方米,安亭-南安路88弄
 小两房 精装修11号线600米 小区环境好 绿地时代名邸62平140万,140万,40.9平方米,白鹤-绿地大道211号
急售徽宁.三.小4号线南浦大桥站刚需过渡 低总价 ,300万,42.46平方米,董家渡-陆家浜路418号 、陆家浜路388号、 海潮
随时看 诚意出售鲜有出房 一师:本人代理 ,880万,132平方米,静安寺-延平路123弄
诚意出售!品质社区 楼层好 ,210万,74.96平方米,青浦城区-漕俞路355弄
 嘉兴学苑.每户附赠面积约15平方左右.精装花园洋房、送车位,75万,89平方米,嘉兴-平湖市新华路与宏建路交汇处
 没有税费+带双阳台+11号线+繁华地段+低于市场价50万,280万,59平方米,三林-永泰路468弄、永泰路258弄、永泰路136
 龙湖新出复式一楼+地下室 业主出国移民 诚意出售,450万,138平方米,赵巷-嘉松中路6788弄、嘉松中路6688弄
 内部房源丨江景豪装平层丨不丨4号线口旁丨繁华商圈丨,450万,70平方米,打浦桥-瞿溪路968弄
占地面积646平南花园400平临绿地公园 独栋 ,1020万,188平方米,徐泾-老沪青平公路168弄
 虹盛小区 新出一房 165万 精装修全送 拎包入住,165万,51平方米,唐镇-虹盛路85弄、虹盛路69弄、虹盛路107弄
 老客户因退出+西郊国宾版块+豪装带地暖+从未住过+移民急售,2200万,232.97平方米,西郊-仙霞路威宁路路口
看中可谈加30平大花园房东诚售精装修位置 核心前滩 ,350万,72平方米,三林-板泉路95弄1-11号、海阳路215弄1-2
 边套 豪华装修 实拍照片 南北双花园100平 小区中心花园位置!!,1000万,207平方米,南翔-芳林路669弄
title,price,area,address
 上海浦东康桥十大豪宅之 一绿宝园 边套占地1亩 业主置换急售,1700万,301平方米,康桥-沪南路2888弄
 南花园380平+35平地下室+不靠路一点不吵+业主+有钥匙,3300万,435平方米,碧云-云山路2000弄
 新上市别墅+紧挨云间绿大地+精装5房+花园300平+业主移民急售,2800万,386平方米,碧云-云山路2000弄
 一品漫城电梯别墅:对-口上-师-大-附-中+双车位大花园+价格可谈,1500万,300平方米,浦江-浦星路568弄、浦申路2639弄11-63号
 宝华源墅新出:电梯房一梯一户+5房2厅豪装平层+送车位加电器家具,2000万,226.7平方米,浦江-三鲁路5588号
一周内必卖低于一手开盘价 重磅!名品御�E:直降300万急售 ,2200万,295.58平方米,古美-古龙路588号、古龙路666弄
满2年交易开发商内部自留房三个车位 御�E稀有底楼复式 ,2300万,198平方米,古美-古龙路588号、古龙路666弄
门口可停4辆车花园位置安静 美林别墅纯木质独幢别墅 ,2300万,282平方米,三林-环林东路491弄
 合生前滩一号稀-缺大平层:两套房一本产证 业主出国诚意出售,2200万,253平方米,三林-西营南路518弄
 (新-出-稀-缺)尚东二期豪装平层+送产权车位+一梯一户+假一罚十,1800万,226.6平方米,三林-海阳路1333弄
全明采光好、小面积精装修只要8万元 地铁口旁边房子南北通户型 ,110万,45平方米,西渡-沪杭公路66弄
 满五年精装修2年实图南北通透18号线秀沿路大润发外环旁,210万,55平方米,康桥-秀沿路1028弄2支弄1-110号
 急急急!老业主急售!只我有的价格!小孩读万小!全南两房!,680万,83平方米,曹家渡-万航渡路858弄18-40号
日租金600元十年统一运营相约绣云里小客栈 同游迪士尼 ,260万,55平方米,川沙-崇溪路111弄
 中环内大双拼 精装免40万个税 南北大花园 近 位置安静,1850万,317平方米,张江-香楠路399弄
 精装修大两房 产权清晰 无抵押 无贷款 房东置换卖掉 随时看房,510万,101.2平方米,金桥-利津路215弄
 嘉定新城 马陆大融城 精装一室两厅 品质小区 交通便利 诚售,285万,70平方米,马陆-德立路88弄
 星河湾二期全新房4房1保姆套房带南向露台赠送全部软装,2950万,290平方米,花木-锦绣路2580弄
 嘉兴乍浦 九龙山风景区新房 精装送车位 沪乍杭高铁 上海医保,102万,92平方米,嘉兴-乍浦镇南湾路与外环东路交汇处
看房方便新装修全送业主急售10万 新小区朝南一房 ,150万,65平方米,白鹤-绿地大道211号
两房 不靠马路 近4/6号线房东精装修 乔顿花园 ,620万,88平方米,塘桥-杨高南路1218弄
 建平西校 业主定好别墅 绛价100万出售 带车位 妒家代理,600万,80平方米,世纪公园-樱花路801弄
送送送 何家大宅门!复式三房 ,335万,70.5平方米,鲁迅公园-水电路245弄、水电路261弄、广中支路24
 地铁13号 精装修两房 南北通透 一手动迁 好位置 好楼层,310万,80平方米,张江-孙农路398弄
厨朝北带窗南北两房一厅一梯两户 十一村真实视频:多层5楼 ,295万,61平方米,华东理工-梅陇十一村1-191号
 13线 刚需房 轻松 没有压力 格局好,278万,59平方米,张江-中科路2660弄
全明边套保养9成新中间楼层带车位 满五壹免个税 ,1000万,112.46平方米,联洋-丁香路1299弄
 精装修560万+全明通透+家电全送+采光好+,560万,123.45平方米,顾村-宝菊路133弄280-308号
 汇金路地铁口 毓秀人才基地 精装两房 低于市场价30万 诚心出售!,210万,69.32平方米,青浦城区-盈港东路8000弄
随时看房外地人也可以买正气精装两房 首付25万安家在花桥 ,83万,65平方米,昆山-花桥国际商务区绿地大道南侧
随时看618万买3房送露台 2号线会展中心隔壁 ,618万,92平方米,徐泾-谢卫路258弄
 房东降30万急售!齐一总校! 近地铁12号线!带固定车位!看房方便,440万,81.89平方米,东外滩-惠民路1033弄
交通便利!万达旁边 家具家电全送双南全明 婚房装修一年 ,280万,72.61平方米,通河-泗塘八村
视野无遮挡只要418万小区高区景观 广润苑三房 ,418万,103平方米,颛桥-春都路88弄
 南洋博仕欣居 进东川路站 出行方便 交大就在小区隔壁 !,415万,118平方米,老闵行-景谷东路99弄
看房请预约采光好!房东诚意出售 田林新苑经典一室户!楼层好 ,275万,41.83平方米,田林-田林东路414弄
 新场古镇精装修 不 拎包入住 包租 租金4千 看房打我电话,128万,40平方米,新场-新环北路1333弄
地段好房东急售主卧室大客厅大装修新 汇金广场置业顾问 ,1000万,139.06平方米,徐家汇-肇家浜路988号、1018号
 外地人可买、周边环境优美、配套成熟、送精装修、楼间距大采光佳,98万,56.76平方米,南门-新崇东路58弄
低于市场价随时看房景观楼层精装送家具家电 16号线 ,228万,79.6平方米,航头-鹤沙路201弄、鹤沙路226弄
 小赵力荐+精装一年多+置换市区诚心出售+本地人三米一梯两户,182万,53.6平方米,淞南-淞南十村
 保利湖畔精装双南户型两房 周边配套齐全 近大融城 出行方便,302万,90平方米,马陆-裕民南路336弄、封周路368弄
 开发商一手保留样板房:免税高区宽景大平层+带子母车位+随时看,998万,120平方米,大宁-广延路1199弄
楼层佳位置好南北通大2房上大身临其境 看房 ,410万,91平方米,大华-华灵路1885弄、华灵路1895弄、真金路1
看泳池景观有车位没住过人 业主平进平出急卖 ,2399万,245平方米,世纪公园-银融路88弄(近浦建路)
钥匙房大近万达配套齐全澧溪 口 ,420万,82平方米,周浦-横桥路69弄
不限/购。可落/户。送精装修 11号线兆丰路1公里。浦西玫瑰园 ,136万,68平方米,昆山-国际商务区光明路18号
 龙湖大平层丨电梯刷卡入户丨前排景观楼层丨附送双车位丨有钥匙,760万,193.11平方米,松江新城-人民北路2908弄
交通方便厅南北通两房朝南 景明花园 南北板式三方 ,890万,136平方米,曲阳-汶水东路298弄
带车位售后公房无税费1梯2户有钥匙 视频看房 前排小高层 ,720万,112平方米,临平路-梧州路218弄
是70年产权的!可贷款 金山一手房 外地人可买 ,85万,61平方米,金山新城-金山大道2335弄
 地��口 瑞馨苑 南北通双阳台好改三房 房东诚心出售 进才,231万,75.8平方米,航头-航春路169弄
没有使用什么都好谈只要你诚心新装房东看中房子 四楼 ,186万,76平方米,临港新城-竹柏路100弄、竹柏路366弄、竹柏路111
 2013年业主跟我买进的目前已经看好康桥3房急售接受置换客户,188万,55.36平方米,周浦-周邓公路6600弄
超低总价。业主置换诚心二楼 超笋盘。八村历史罕见房源。一房 ,165万,43.4平方米,外高桥-张杨北路5911弄、花山路481弄、和龙路5
 东区 朝南有装修 地铁 多条公交经过 近心小,385万,52平方米,曲阳-赤峰路372弄1-16号
看房方便满五年诚售南北通透一房一厅精装修 黄兴版块 ,190万,37平方米,控江路-控江路1197弄
急售看房有钥匙原始动迁房水语电梯4楼精装一房 闵瑞路站 ,165万,56平方米,浦江-浦涛路768弄、浦涛路751弄
返10万现金 我已成交5套可享团购+无/税/费+送双车位+一手独栋 ,1478万,342.21平方米,泗泾-泗泾镇古楼公路1198号
有钥匙随时可真实视频实拍南北直通通两房 雅戈尔高区景观房 ,925万,119.53平方米,长风-泸定路555弄
近地铁09年小区后置安静南北通简装三房 送产权车位 ,1000万,138.52平方米,古美-古龙路66弄、古龙路300弄
价格面谈位置好花园大 地铁口独栋别墅 ,2600万,380.5平方米,金桥-巨峰路1589弄
 11号轨交直达市区、刚性需求户型正气、配套设施已经完善急售,330万,89平方米,嘉定新城-云屏路518弄、云屏路388弄
 明珠校+电梯好花园洋房+经典南北通透+大三房!急抛,450万,113平方米,周浦-上南路6333弄
价格因有小孩忍痛割爱置换 业主诚意出售一房 ,205万,35.99平方米,曲阳-辉河路40弄
 康城一期南门口 精装大三房 楼间距大 绿化高 采光好 出行方便,425万,126平方米,莘庄-莘松路958弄(山林道4-51号、康城道51
随时看可拎包入住南向视野开阔全新装修 临小球场独栋别墅 ,3499万,417平方米,张江-龙东大道415弄
私梯入户。 一线江景新盘次新盘|400万装修|新鸿基打造 ,5000万,280.96平方米,陆家嘴-浦明路688弄
看房随时无个税满五年惟一�w实价格天台家园3房 新挂牌 ,850万,138平方米,天山-新渔东路455弄、新渔东路550弄、茅台路9
前后带花园简装赠00万装修款159平 老业主处理资产 ,750万,135平方米,古北-荣华东道119弄
title,price,area,address
 一品漫城电梯别墅:对-口上-师-大-附-中+双车位大花园+价格可谈,1500万,300平方米,浦江-浦星路568弄、浦申路2639弄11-63号
 陆家嘴升级版 前滩醉美别墅你人车分流 母子车位 急售,1760万,235平方米,三林-西营南路518弄
 朗郡156户型 罕见大三房 位置楼层都很佳 带产权车位,1170万,156平方米,古美-万源路986弄
 欧原急售三复四 一套捡皮夹子的房源 等您电话给您惊喜,1350万,169平方米,古美-古龙路287弄
 满五 电梯房 6楼复7楼复8楼 产权车位 1000万 急售,1050万,226平方米,中原-翔殷路500弄
 古龙尚居标准5房 业主移民急售 含车位 现金多价格可以大谈!,1350万,214.5平方米,古美-古龙路66弄、古龙路300弄
送露台!送花园送产权车位全景落地窗 内中环稀有万科大宅 ,1602.66万,266平方米,三林-杨南路1705弄
一周内必卖低于一手开盘价 重磅!名品御�E:直降300万急售 ,2200万,295.58平方米,古美-古龙路588号、古龙路666弄
低于市场价200万 (今日新出)瀚林苑别墅:业主1100万挂牌 ,1100万,192平方米,三林-上南路3899弄2-73号
急 售双 双车位 双地铁 送300平大花园 中环别墅区 ,1999.99万,321平方米,三林-尚博路518弄17-99号、尚博路366弄1
 淮海路独栋名墅+全球首.发+豪宅官邸+高私密性+身份象征!,6500万,620平方米,老西门-露香园路118弄
 世茂滨江南区单价8万大2房:俯瞰英式大草坪全景:满5年无个税,1300万,163平方米,陆家嘴-潍坊西路1弄、潍坊西路2弄
 业主诚急 可降 出行便利+环境优美+随时看房+可签字直接拎包入住,210万,41.08平方米,控江路-延吉中路117弄
铺重餐饮商一手精装客栈 迪斯尼1.7南大门 ,220万,50平方米,川沙-崇溪路111弄
南花园南邻河户型正气锦轩纯独栋小区 漕河泾拉斐尔云廊旁 ,1500万,296.5平方米,莘闵别墅-新南路1298弄1-159号
进才朝南面对花园采光无遮南北通双阳台 步行进地铁站 ,251万,76平方米,航头-航昌路199弄
紧靠轨道7号闹中取静小区近花园位置户型正气 板式南北通 ,490万,94平方米,大华-华灵路1280弄
管家式服务带私家电梯灿辉经典经典法式联排 徐泾家乐福旁 ,900万,150平方米,徐泾-东徐联路666弄
南北通透户型正气 地铁口精装两房 ,480万,92.4平方米,梅陇罗阳-罗锦路888弄5支弄
 珊瑚湾 经典复式房 精装四十万 一线海景 超低总价 看房有钥匙,187万,91平方米,海湾旅游区-海马路4333弄
交通便利!价格可议!人气旺成熟小区 万科翡翠公园 ,1420万,180平方米,张江-百业路荣科路路口
省装修费入读协和双语万源城紧凑三居室 新上海人安家优选 ,690万,88平方米,古美-万源路580弄
 超笋盘华高新苑 口 精装大二房 满五年 钥匙房!,398万,102平方米,金桥-金高路1068弄
 东四高 中间层 近地铁 南北通 使用面积大,290万,80平方米,康桥-康达路688弄
有钥匙接受置换买进价高税少南北通户型 万科豪装壹年 ,320万,73.9平方米,七宝-七莘路3333弄
 繁华地段 楼层好 总价低 满5税少 低价出售,265万,28.3平方米,打浦桥-南塘浜路93弄
 蒙自新村+南北2房+满2年+看房方便,445万,53.1平方米,五里桥-蒙自路490弄
 融创海上桃源丨古风合院别墅大宅丨珍藏孤品丨验资发售丨带车位,258万,180平方米,崇明其他-崇明永兴路118号
有钥匙精装中.央空调地暖赠30平新出三房急售 急售 ,489万,105平方米,康桥-秀沿西路68弄
急售安静温馨出行便利 位置优越 ,200万,42平方米,康桥-京浦路82弄、京浦路160弄、沪南公路244
 新小区 业主急售 带车位 精装两房,920万,97.5平方米,徐家汇-华石路88弄
挨着学-校看房随时可改小三房低于市场价40万 房东置换诚售 ,200万,72.2平方米,南翔-德园路532弄、德园路570弄、裕丰路228
诚意急售中环附近低总价好房源老外街71路交通 毗邻地铁 ,115万,47.31平方米,虹桥-虹梅路3721号(延安西路口)
双轨地铁急卖315万实拍照片满五年 富浩河滨电梯6楼 ,315万,96平方米,月浦-德都路88弄
随时看房一手动迁省税尚德实验旁精装房 地铁11号线地铁口 ,280万,85平方米,康桥-环桥路1137弄
看房方便。 房东诚意出售满五直视东方明珠全景 ,980万,118.77平方米,临平路-临平路133弄
19号直通崇明启东70年产权融创海上桃源 专车崇明岛叠加别墅 ,210万,130平方米,其他-启东启隆乡
诚售!享受别墅的安保 别墅里房 ,680万,97平方米,北新泾-虹桥路2489弄1-53单号
诚心出售小区位置有产权车位精装修三房 宝宸怡景园 ,820万,124.08平方米,共康-三泉路1859弄
 禹洲府: 一手预留 无税 商品房 挂牌440 现价395万,395万,118平方米,马桥-富国路199弄(富国路银春路交汇处)
带字母车位刚降500万全新装修浦西一线江景 华侨城苏河湾 ,2650万,221平方米,不夜城-北苏州路470-1016号(曲阜路9弄50号
但是品质如一两个不同的商圈 华府天地汤臣一品 ,4250万,333平方米,新天地-马当路222弄
有钥匙随时可以看房飞机户型南北板式三房  一手动迁一梯两户 ,480万,96平方米,三林-永泰路468弄、永泰路258弄、永泰路136
随时可看底价可谈送家具家电满五 中星凉城苑精装两房 ,480万,89平方米,凉城-凉城路838弄、奎照路628号
 茶陵路345弄 主卧朝南 配套齐全 房东诚售,390万,54.07平方米,斜土路-茶陵路345弄
!小区环境好!物业管理好 南北通透大两房 ,1350万,124平方米,南京西路-泰兴路625弄
 誉品原墅珍藏下叠出炉 一复二毛坯980万 有钥匙 实拍图,980万,230平方米,松江大学城-龙马路185弄
全明户型房龄新税少实验好楼层 11号线汇丰荷苑 ,183万,59.4平方米,菊园新区-树屏路1517弄
 金天地 精装修 两房 自己住 蒙山 抄底价 紧靠百联 带车位!,258万,102平方米,金山新城-卫清西路88弄
急售税费还各付永兴市北初 城上城空中花园 ,705万,113平方米,西藏北路-虬江路1488弄
急卖一梯两户南北通精装修上海70年产权住宅 松江地铁口 ,89.5万,50平方米,佘山-桃源西路688弄
 新出一套永泰花苑 送车位 精装修 双阳台带飘窗小区中间 位置,238万,57.6平方米,三林-永泰路630弄
先到先得总价只要50万11号线 能在上海何必外地 ,58.5万,50平方米,安亭-兆丰路7号
急售怎能错过!南北通透等待了这么久出小户型啦 出小户型 ,407万,58.2平方米,打浦桥-打浦路258弄
 双南户型 满五少税 房型正气 闹中取静 正对万亩华山绿地 天然氧,780万,92平方米,新华路-华山路1520弄79号-99号
 平阳四街坊!房东急售!双南2房!全明户型!近地铁示范房,350万,67.8平方米,古美-古美西路628弄
高层采光不挡看房随时总价低置换诚售 售后公房满五双南一北三房 ,330万,62.41平方米,长风-长风二村
 彭浦新村精装一室户边套全明房东置换诚心出售看房预约,205万,42平方米,彭浦-三泉路770弄、三泉路820弄
南北通户型闹中取静小区第三盘 新出房源 ,300万,90平方米,顾村-沙浦路311弄14-42号
 9号线地铁口 不精装全配 民用水电 可通燃气 急售 急售,135万,58平方米,松江新城-松江区谷阳北路与文翔路交口
 徐泾别墅板块 全新精装2+1户型 高 一手买进未曾住过,390万,90平方米,徐泾-叶联路666弄190-210号、叶联路699
急售环境优美家具齐全采光好满五税费少 近2号 ,375万,86平方米,张江-广兰路248弄、香楠路276弄、香楠路39弄
 出售精心装修2室南北通透超低价婚房,220万,83平方米,临港新城-竹柏路100弄、竹柏路366弄、竹柏路111
全明绿地建造精装南北通透五楼一梯两户 南新苑商品房三房 ,480万,85.6平方米,北蔡-下南路465弄
全明户型房东诚心 次新 崧泽华城秀景苑 185万 1室1厅1卫 精装修 ,185万,50.56平方米,青浦城区-崧润路1176弄、崧润路1028弄、崧润路1
 东茗苑16号线旁房(沿河边套)精装两房 随时好看房 欢迎您的到,210万,73.6平方米,航头-鹤永路600弄、鹤恒路600弄、鹤永路599
随时能看随时过户正常首付南北通透 2房238万!笋盘新降 ,205万,80.3平方米,浦江-浦连路99弄
 笋盘急推梅园三街坊(福外建平)精装修南北通小户型诚心出售,410万,39平方米,源深-商城路991弄、商城路1025弄、乳山路13
提前约总价230万起 路劲佘山院子二期东园要开盘了 ,272万,89平方米,松江新城-松江崇南公路599弄
 急售 近13号线 电梯房 精装全配 可拧包入住 急售,396万,110.2平方米,张江-孙耀路111弄、孙环路177弄、孙耀路178
title,price,area,address
 格拉斯四期 临水系中户型 实价 走一手程序 花园700平,3600万,560平方米,北关-格拉斯路与滨河路交叉点东南角
 新上 区 1居改2居 3.3米 高层观景 入驻大西洋门槛,590万,60.58平方米,望京-广顺北大街33号
 万柳 蜂鸟家园 低总价 高楼层 西北向两居室 满五年 原始,980万,79.92平方米,万柳-万柳中路33号
 (每周优选) 首开琅樾 平层南北四居 毛坯状 可自由设计装修,1490万,230平方米,孙河-京密路与京平辅路交叉口西行1.5公里
 金融街丰汇园三居建行家属楼中间楼层中.介费1.5 单价15万,2300万,150平方米,金融街-太平桥大街84号(政协礼堂斜对面)
 亚运新新家园南北三居室+带一层储物间+1470万找我签,1480万,153.7平方米,亚运村-北五环内辛店路1号
 二手:远见名苑二期南北通透三居室明厨明卫 一梯两户06年板楼,1530万,151平方米,广安门-红居北街与莲花河东侧路交叉点东北角
 丰台科技园区 怡海花园中海万科西华府 万达南苑机场 东南三居,1522万,203平方米,科技园区-南四环西路129号
 世贸高层三居 东南北三面采光观景 满五年一套房 节省成本 随时看,2550万,262.31平方米,东大桥-光华路甲9号院
 (有钥匙)国贸附近+南北四居+户型方正+厨房+可改大三居,1950万,199.85平方米,大望路-朝阳西大望路6号(国贸桥东900米)
 合生滨江帝景 高层南北大3居 开发商精装修 前后无遮挡,860万,155平方米,运河大街-运河西大街易初莲花东50米
看房随时中间层南北通透两居室 三里河东路7号院1994年楼龄 ,790万,63平方米,月坛北街南侧三里河-三里河东路西侧 
 祥云墅奢华品质京城中的悠然之家社区配套齐全交通便利现房随时看,765万,213平方米,长阳-北京市房山区长阳镇京良路南侧
 珠江御景成熟小区138平着急出售 明厨明卫 好位置,433万,137平方米,长辛店-长辛店镇张家坟村长云路2号院
 公主坟 翠微路 西钓鱼台嘉园对岸 南北落地窗 免装修 价可谈,1860万,155.26平方米,公主坟-西三环羊坊店翠微路4号院
 南北向两居室 中间楼层 房本满五年家庭名下就这一套,500万,88.5平方米,豆各庄-大鲁店北路北侧黄厂南里1号院
业主诚意出售看房有钥匙装修保养好 次次顶层两居室 ,550万,81.68平方米,亦庄-亦庄・南海子公园东南1000米
 新城国际四期正南四居室+保养好房子新+品质社区配套齐全,3300万,287平方米,国贸-朝阳门外大街6号院
 09年公园洋房 南北通透三居室 双卧朝南 餐客分离 中间位置,1349万,161.11平方米,田村-旱河路以西田村北路以南
 观山园+新房+客厅双卧南+车位+中楼层+看房方便+价可谈,1760万,165平方米,火器营地铁站西侧世纪城-蓝靛厂中路 
 有钥匙 送地下室 不临街 南北通透 单价3万多 西北旺上地,645万,107.92平方米,西北旺-西北旺镇冷泉村
 金色21 天际173.73平米大三居 现代工业风装修风格 人车分流社区,930万,173.73平方米,常营-常营北路10号院
 公主坟 颐源居 3室2厅 阳光充足 产证清晰 1号线10号线,1800万,154.85平方米,公主坟-西三环羊坊店翠微路4号院
 高速旁 北京人家南北向两居室 可做阁楼 带车位,398万,73.87平方米,回龙观龙泽-地铁13号线龙泽站西北方向1.2公里 
没有可比性 翡翠山联排别墅开盘了 别说你看过别墅 ,1280万,280平方米,丰台体育馆-丰台王佐镇青龙湖南侧
税费较少满五年一套主打南北三居位置安静 华侨城2号院 ,1050万,138平方米,欢乐谷-东四环四方桥京沈辅路南侧小武基北路
 正规2居 格局方正 户型好 采光无遮挡,450万,48.1平方米,西直门外-交大东路31号院
 回龙观龙博苑二区 小两居 小区中间位置,400万,78.89平方米,回龙观-文华路与黄平路交叉点西南角
 翠成馨园区 正规大一居 带电梯 邻近公园,340万,71.32平方米,垡头-京沈高速东四环第一出口往南800米
 珠江壹千栋 2期 超 394平 1500万 南花园550平米 南客厅7米挑空,1500万,394平方米,立汤路定泗路口向西两公里北七家-北七家 
 小黄庄路9号院 2室1厅1卫 建研院小2居,660万,58.81平方米,和平里-安定门外大街60号附近(青年沟路北)
 通州八通线沿线 巴克摩界 电梯房 复式两居 带大落地窗,328万,44平方米,果园-果园站南500米(梨园镇李老公庄村)
 八达岭孔雀城新中式合院 落地窗 采光通透 赠送庭院 露台 车位,500万,258平方米,八达岭-八达岭高速康庄出口(65出口)西南约5公里
 直降30万 珠光逸景 全南向三居 诚意出售 莫失良机,320万,93平方米,长辛店-长辛店太子峪路南800米
满五年高层采光好一卧南一卧北 亦庄桥旁南北两居室 ,380万,79平方米,亦庄-亦庄经济技术开发区北环西路与西环北路交叉口西
 万科紫苑 3室 158.48平 南北通透朝向,1160万,158.48平方米,青塔-小屯路108号
 新上四居室)三面采光保养好)看房方便)随时看10套起,2650万,309平方米,朝青-四季星河西路与四季星河南街交叉点东北角
八通线保持好南北通透精装三居室金隅花石匠临河里 土桥 ,520万,91.87平方米,土桥-土桥地铁站东1200米
 21 和乔丽晶方正两居 格局好 总价低 换房,1050万,133平方米,酒仙桥-芳园西路1号院
 八达岭孔雀城现房 地上三层 大露台,200万,135平方米,八达岭-八达岭高速康庄出口(65出口)西南约5公里
 时代芳群 楼下5/14购物大卖场 正对小区花园,1200万,161.2平方米,方庄-芳群园一区3号院
